POÇO ANP,BLOCO,BACIA,ESTADO,AMBIENTE,OPERADOR,INÍCIO DA PERFURAÇÃO,CONCLUSÃO DO POÇO,NOTIFICAÇÃO DE DESCOBERTA ?,DATA DA NOTIFICAÇÃO DE DESCOBERTA
1-STAT-10A-SPS,BM-S-8,Santos,SP,MAR,Equinor Brasil,2018-04-29 08:30:00,2018-09-08 00:00:00,Sim,2018-07-13 00:00:00
1-STAT-10-SPS,BM-S-8,Santos,SP,MAR,Equinor Brasil,2018-04-25 06:58:00,2018-04-28 00:00:00,Não,
1-RNB-2A-AM,SOL-T-169,Solimões,AM,TERRA,Rosneft,2018-03-17 06:00:00,2018-08-01 00:00:00,Sim,2018-06-11 00:00:00
1-BRSA-1360-ESS,ES-M-596,Espírito Santo,ES,MAR,Petrobras,2018-02-17 03:10:00,2018-05-14 00:00:00,Não,
1-GPK-3-RN,POT-T-619,Potiguar,RN,TERRA,Geopark Brasil,2018-01-28 15:00:00,2018-02-03 00:00:00,Não,
1-IMET-23-RN,POT-T-569,Potiguar,RN,TERRA,Imetame,2018-01-27 19:00:00,2018-03-17 00:00:00,Sim,2018-03-15 00:00:00
1-TEK-3-BA,REC-T-153,Recôncavo,BA,TERRA,Tek,2018-01-04 22:00:00,2018-02-06 00:00:00,Sim,2018-01-23 00:00:00
1-RNB-2-AM,SOL-T-169,Solimões,AM,TERRA,Rosneft,2017-12-28 15:40:00,2018-03-17 00:00:00,Não,
4-PGN-23-MA,PN-T-67,Parnaíba,MA,TERRA,Parnaíba Gás Natural,2017-12-20 03:00:00,2017-12-30 00:00:00,Não,
1-GPK-2-RN,POT-T-747,Potiguar,RN,TERRA,Geopark Brasil,2017-12-09 09:00:00,2018-01-22 00:00:00,Sim,2017-12-15 00:00:00
1-IMET-22-RN,POT-T-699,Potiguar,RN,TERRA,Imetame,2017-11-20 17:00:00,2017-12-17 00:00:00,Não,
3-BRSA-1356D-RJS,LIBRA,Santos,RJ,MAR,Petrobras,2017-11-15 02:05:00,2018-01-24 00:00:00,Sim,2018-01-12 00:00:00
4-PGN-22-MA,PN-T-102,Parnaíba,MA,TERRA,Parnaíba Gás Natural,2017-11-14 14:30:00,2017-12-10 00:00:00,Sim,2017-12-11 00:00:00
